country_key,country_name,capital_city,continent,region
country--heard-island-and-mcdonald-islands,Heard Island and McDonald Islands,,Antarctica,Oceania
country--honduras,Honduras,Tegucigalpa,North America,Central America
country--hong-kong,Hong Kong,,Asia,Asia
country--hungary,Hungary,Budapest,Europe,Europe
country--iceland,Iceland,Reykjavik,Europe,Europe
country--india,India,New Delhi,Asia,Asia
country--indonesia,Indonesia,Jakarta,Asia,Asia
country--iran,Iran,Tehran,Asia,Middle East
country--iraq,Iraq,Baghdad,Asia,Middle East
country--ireland,Ireland,Dublin,Europe,Europe
country--isle-of-man,Isle of Man,,Europe,Europe
country--israel,Israel,Jerusalem,Asia,Middle East
country--italy,Italy,Rome,Europe,Europe
country--jamaica,Jamaica,Kingston,North America,Caribbean
country--japan,Japan,Tokyo,Asia,Asia
country--jersey,Jersey,,Europe,Europe
country--jordan,Jordan,Amman,Asia,Middle East
country--kazakhstan,Kazakhstan,Astana,Asia,Asia
country--kenya,Kenya,Nairobi,Africa,Africa
country--kiribati,Kiribati,Tarawa,Oceania,Oceania
country--kosovo,Kosovo,Pristina,Europe,Europe
country--kuwait,Kuwait,Kuwait City,Asia,Middle East
country--kyrgyzstan,Kyrgyzstan,Bishkek,Asia,Asia
country--laos,Laos,Vientiane,Asia,Asia
country--latvia,Latvia,Riga,Europe,Europe
country--lebanon,Lebanon,Beirut,Asia,Middle East
country--lesotho,Lesotho,Maseru,Africa,Africa
country--liberia,Liberia,Monrovia,Africa,Africa
country--libya,Libya,Tripoli,Africa,Africa
country--liechtenstein,Liechtenstein,Vaduz,Europe,Europe
country--lithuania,Lithuania,Vilnius,Europe,Europe
country--luxembourg,Luxembourg,Luxembourg City,Europe,Europe
country--macau,Macau,,Asia,Asia
country--macedonia,Macedonia,,Europe,Europe
country--madagascar,Madagascar,Antananarivo,Africa,Africa
country--malawi,Malawi,Lilongwe,Africa,Africa
country--malaysia,Malaysia,Kuala Lumpur,Asia,Asia
country--maldives,Maldives,Male,Asia,Asia
country--mali,Mali,Bamako,Africa,Africa
country--malta,Malta,Valletta,Europe,Europe
country--marshall-islands,Marshall Islands,Majuro,Oceania,Oceania
country--martinique,Martinique,,North America,Unknown
country--mauritania,Mauritania,Nouakchott,Africa,Africa
country--mauritius,Mauritius,Port Louis,Africa,Africa
country--mayotte,Mayotte,,Africa,Africa
country--mexico,Mexico,Mexico City,North America,North America
country--micronesia,Micronesia,,Oceania,Oceania
country--moldova,Moldova,Chisinau,Europe,Europe
country--monaco,Monaco,Monaco,Europe,Europe
country--mongolia,Mongolia,Ulaanbaatar,Asia,Asia
country--montenegro,Montenegro,Podgorica,Europe,Europe
country--montserrat,Montserrat,,North America,Central America
country--morocco,Morocco,Rabat,Africa,Africa
country--mozambique,Mozambique,Maputo,Africa,Africa
country--myanmar-burma,Myanmar [Burma],,Asia,Asia
country--namibia,Namibia,Windhoek,Africa,Africa
country--nauru,Nauru,Yaren,Oceania,Oceania
country--nepal,Nepal,Kathmandu,Asia,Asia
country--netherlands,Netherlands,Amsterdam,Europe,Europe
country--netherlands-antilles,Netherlands Antilles,,North America,Caribbean
country--new-caledonia,New Caledonia,,Oceania,Oceania
country--new-zealand,New Zealand,Wellington,Oceania,Oceania
country--nicaragua,Nicaragua,Managua,North America,Central America
country--niger,Niger,Niamey,Africa,Africa
country--nigeria,Nigeria,Abuja,Africa,Africa
country--niue,Niue,,Oceania,Oceania
country--norfolk-island,Norfolk Island,,Oceania,Oceania
